mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
8.83097392320633,0.5503483728319012,0.8096691966056824,0.09784596943731788,10000.0,{'model__C': 10000},0.8556440645035943,0.8548050593297692,0.8571890667960537,0.8558988855314034,0.8558842690402051,0.0008551465728151298,1
6.703499853610992,1.0049751636126099,0.5235998034477234,0.1876113048520194,inf,{'model__C': inf},0.855736218177107,0.8548623554324809,0.8569764431788766,0.8557873529602912,0.8558405924371889,0.000751803327480077,2
9.95758306980133,1.191001079250604,0.92389976978302,0.2504669393432074,10.0,{'model__C': 10},0.8556534127703666,0.8546858203850288,0.8568100184448112,0.8561034236341194,0.8558131688085815,0.0007704533601770036,3
8.107052743434906,0.3191097539385236,0.7387402653694153,0.28217013933895824,100.0,{'model__C': 100},0.8556257082726243,0.8547225751800085,0.8569580125509478,0.8556208789424108,0.8557317937364979,0.000797761069002842,4
6.991506278514862,0.8664241047595402,0.8138377070426941,0.15972393482737857,1000.0,{'model__C': 1000},0.8556073556073556,0.8547504235631435,0.8569394557162735,0.8554729356755528,0.8556925426405813,0.0007902317103425008,5
7.143708407878876,1.2098338293342448,0.9457484483718872,0.23141198429907223,1.0,{'model__C': 1},0.8547792929619337,0.8538959981765492,0.8566625719273292,0.8553263267159725,0.8551660474454461,0.0010034788420014884,6
3.173734188079834,0.49278238845016203,0.7293769121170044,0.26513565723547866,0.1,{'model__C': 0.1},0.8534896453992077,0.8521835052884303,0.8555870601881685,0.8541330058812124,0.8538483041892547,0.0012252060015591727,7
2.497655212879181,0.41013541714069585,0.8282229900360107,0.40394550204175333,0.01,{'model__C': 0.01},0.8528695874967973,0.8521178933805765,0.8545855576511204,0.8541311823119195,0.8534260552101035,0.000982674135792643,8
1.70395165681839,0.21248240919866673,0.6386253237724304,0.15025539016409348,0.001,{'model__C': 0.001},0.849253779041897,0.8487751559184723,0.8513771996939556,0.8505548626435128,0.8499902493244595,0.0010321409775157964,9
1.4005001187324524,0.10821447942878146,0.5820017457008362,0.06782324801499917,0.0001,{'model__C': 0.0001},0.8129754196265795,0.8139204096469324,0.8143201981253331,0.81227959697733,0.8133739060940437,0.0007985046414199073,10
2.8406946659088135,0.12451016707303461,0.7569067478179932,0.03548741274843642,1e-05,{'model__C': 1e-05},0.7812358752502099,0.7819002174830396,0.7813285226467367,0.7775761503564484,0.7805101914341087,0.0017129690917101067,11
