mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,param_model__criterion,param_model__max_depth,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
9.123462438583374,0.4469975236379867,0.48614206314086916,0.019646224215245763,0.0,gini,16,"{'model__ccp_alpha': 0.0, 'model__criterion': 'gini', 'model__max_depth': 16}",0.6298862790885362,0.6416272634231376,0.6444360133973345,0.5820978583035872,0.6271175221310695,0.625032987268733,0.022464071093058802,9,0.6431062084763193,0.6548285406579145,0.6501484391867278,0.6018855482267068,0.6458255334301706,0.6391588539955678,0.01905589466694944,0.6364886093681731,0.6572371268221516,0.6522012250786775,0.5959504082939809,0.6492288598302982,0.6382212458786564,0.022217276389269944,9,0.6542349246183063,0.6735415414754508,0.6633232464892351,0.6165587926213792,0.666345188361248,0.6548007387131239,0.020099212577223944
9.032690286636353,0.1554368647408751,0.4631794929504395,0.06837224770216817,0.0,gini,32,"{'model__ccp_alpha': 0.0, 'model__criterion': 'gini', 'model__max_depth': 32}",0.7369822063842106,0.7443516600456216,0.7425380578584825,0.7289793654153388,0.7354498477106698,0.7376602274828646,0.005463906230860502,1,0.8023763246368865,0.7991295992016528,0.8056458834993673,0.8132945623419003,0.7977943288231863,0.8036481397005986,0.00553798291159418,0.6924943871670456,0.714659995529042,0.6954289748263561,0.6890263667789699,0.710417600388437,0.7004054649379702,0.010200676241221184,1,0.7445080651178251,0.7614266370462051,0.7498653589481418,0.7481442443891444,0.7655657552619749,0.7539020121526583,0.008128414146856191
9.02173991203308,0.232211866766545,0.49443612098693845,0.060716087324032594,0.0,gini,64,"{'model__ccp_alpha': 0.0, 'model__criterion': 'gini', 'model__max_depth': 64}",0.7368855402953597,0.7411754979100613,0.7412297383108963,0.7314146520957521,0.7354653154320359,0.737234148808821,0.003704478630275775,2,0.808249098517304,0.8092409549085647,0.8104426613506067,0.8186036876889353,0.8122771853173861,0.8117627175565595,0.0036745313557432855,0.6879945377413796,0.7024789022125462,0.6902690359439506,0.6904180370179291,0.6958281025950986,0.693397723102181,0.005219888563026327,5,0.7446958623542538,0.753001583902037,0.7501336857490857,0.7508013219335782,0.7539661670653622,0.7505197242008632,0.00323058155050389
8.282845878601075,0.12859431956056844,0.46355605125427246,0.06701951784832555,0.0,entropy,16,"{'model__ccp_alpha': 0.0, 'model__criterion': 'entropy', 'model__max_depth': 16}",0.7346533411135855,0.7348283511743284,0.7344708842168526,0.7296636025134441,0.7442776451134565,0.7355787648263334,0.004760390584387382,3,0.786347306767403,0.7855167456311976,0.7888140167365045,0.7966317013995585,0.7883564398065733,0.7891332420682474,0.003943924464012465,0.6913927998083066,0.6935159234494246,0.6946402076829349,0.6949047278468912,0.7004756900886699,0.6949858697752453,0.003011148862357956,2,0.7339703011062455,0.7378955558642397,0.7350851324280773,0.7364883769595065,0.7376782945426292,0.7362235321801396,0.0015069932817715925
8.511064100265504,0.13214437641221427,0.44918041229248046,0.06031045460686608,0.0,entropy,32,"{'model__ccp_alpha': 0.0, 'model__criterion': 'entropy', 'model__max_depth': 32}",0.7308444271608611,0.7308898908489664,0.7363814971452145,0.7315312578584964,0.7424874676006135,0.7344269081228303,0.0045281892370599005,4,0.8036092597347685,0.8057224496705664,0.8092323741485927,0.816793806004659,0.8097720014462473,0.8090259782009668,0.00449872067260754,0.6915876371417028,0.6922830240731632,0.6930893117987063,0.6990767279481856,0.6975145923440295,0.6947102586611574,0.0030066607081364613,3,0.7512294726564344,0.7544266238273923,0.7519368979924145,0.7552082576780909,0.7527151996097541,0.7531032903528173,0.0014969553933190827
8.340842247009277,0.15926729733253636,0.46249938011169434,0.04308784377952308,0.0,entropy,64,"{'model__ccp_alpha': 0.0, 'model__criterion': 'entropy', 'model__max_depth': 64}",0.730722499929696,0.7309719134209652,0.7349728451563584,0.7314083172830466,0.7426154624814865,0.7341382076543106,0.004510105298902222,5,0.8037495470949636,0.8058129609029986,0.8093028825243742,0.816820550355831,0.8098845403838174,0.8091140962523969,0.004465300471906214,0.6916254328172398,0.6926218013603966,0.6914719965671873,0.6989981783742365,0.6976286140694614,0.6944692046377043,0.0031930131323726794,4,0.751362067954894,0.7545146015411982,0.7520039522909034,0.7552274980916132,0.7528131828384765,0.7531842605434169,0.0014694106922477261
7.739570140838623,0.14192240690516383,0.4835864543914795,0.04912332650532067,0.001,gini,16,"{'model__ccp_alpha': 0.001, 'model__criterion': 'gini', 'model__max_depth': 16}",0.5205443348158734,0.5285964757456004,0.53152971327774,0.49415452119850806,0.518610042615788,0.5186870175307019,0.013179006981470476,12,0.5213885544692864,0.5335722608611098,0.5292915658431318,0.49864441200914056,0.5234866842543888,0.5212766954874115,0.012104014977689832,0.5189378361734137,0.526608773447833,0.5308263826738318,0.49911995321611463,0.5205408738366284,0.5192067638695643,0.010909971775314387,12,0.5208805160121319,0.533121166526828,0.5307646865449305,0.5021526701350811,0.5242438951394709,0.5222325868716885,0.010958415984501126
9.553463363647461,0.3058231756782176,0.5089736938476562,0.06476315258481626,0.001,gini,32,"{'model__ccp_alpha': 0.001, 'model__criterion': 'gini', 'model__max_depth': 32}",0.5325460347206414,0.5285964757456004,0.53152971327774,0.5219322989762859,0.5305148045205499,0.5290238654481636,0.0037783812944028002,10,0.5320401835419681,0.5335722608611098,0.5292915658431318,0.5291199424846711,0.5340686948363993,0.5316185295134561,0.0020811470621626142,0.5306255280562785,0.526608773447833,0.5308263826738318,0.5270320962706065,0.533283817167807,0.5296753195232714,0.0025155290449371368,10,0.5328209846149348,0.533121166526828,0.5307646865449305,0.5335906857977127,0.5358660692616452,0.5332327185492103,0.0016331458713882622
9.485873985290528,0.24859033730480895,0.45366153717041013,0.03808854313161401,0.001,gini,64,"{'model__ccp_alpha': 0.001, 'model__criterion': 'gini', 'model__max_depth': 64}",0.5324490967206353,0.5285964757456004,0.53152971327774,0.5219322989762859,0.5305148045205499,0.5290044778481623,0.0037604648521220663,11,0.5320401835419681,0.5335722608611098,0.5292915658431318,0.5291199424846711,0.5340686948363993,0.5316185295134561,0.0020811470621626142,0.5305373477729253,0.526608773447833,0.5308263826738318,0.5270320962706065,0.533283817167807,0.5296576834666007,0.0025091063418731015,11,0.5328209846149348,0.533121166526828,0.5307646865449305,0.5335906857977127,0.5358660692616452,0.5332327185492103,0.0016331458713882622
8.530808210372925,0.0833528169279816,0.43818416595458987,0.014039140062430806,0.001,entropy,16,"{'model__ccp_alpha': 0.001, 'model__criterion': 'entropy', 'model__max_depth': 16}",0.6891778001427428,0.6898902716480437,0.7015933488249677,0.6959708772989737,0.7110949593069085,0.6975454514443273,0.008137238920910433,8,0.7031100439222958,0.7075865723188605,0.7100586115754554,0.7133472068943221,0.7201507501299149,0.7108506369681697,0.0057257867437906,0.6897196875744127,0.691843307106979,0.6855611653303311,0.6905493303806377,0.7015797802447657,0.6918506541274253,0.005299963778340584,8,0.7029865525068119,0.7081484611435888,0.6942228767857186,0.7021056361116129,0.7107797742358983,0.703648660156726,0.005705535887759758
