mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
4.730724036693573,0.12243812826794952,0.2522980570793152,0.018052331275113024,entropy,800,3,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 3}",0.9282805650287629,0.9303913837919154,0.9305285180669916,0.9321798289863326,0.9303450739685006,0.0013842253677357219,1,0.9418855667459949,0.9407272921564886,0.9409891841571263,0.9400181187170056,0.9409050404441539,0.0006683443343237126
3.914661467075348,0.08923739895022648,0.2652825117111206,0.027441468257132173,entropy,800,7,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 7}",0.9277248501848265,0.9317033078654725,0.9302404682812704,0.9306173455796984,0.930071492977817,0.0014574000773317326,2,0.939285747820768,0.9383596828193772,0.9383130211422417,0.9376615662966901,0.9384050045197692,0.0005785594507172839
5.544209659099579,0.13978161061769445,0.27899736166000366,0.02865762661007449,gini,800,3,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 3}",0.9283694059948633,0.9308935356733401,0.9293376025307167,0.9310298608754666,0.9299076012685967,0.0011093327427995877,3,0.9421682072892275,0.9412890094119575,0.9413917654392063,0.941134317889999,0.9414958250075977,0.0003988691555817401
3.8649579882621765,0.13609182602454123,0.26460695266723633,0.010719366604748218,entropy,800,5,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 5}",0.9263525422263922,0.9299826593750444,0.9302492207914912,0.9315134953191311,0.9295244794280146,0.0019204523382490059,4,0.9403472504276439,0.9388496925614389,0.9394610611259013,0.9388644422822265,0.9393806115993026,0.000610157467266412
5.077475368976593,0.12470339018949661,0.32676130533218384,0.04919544635305672,gini,800,7,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 7}",0.9276209106859524,0.9303189392721392,0.9282511421572606,0.9289995070845085,0.9287976247999652,0.0010047951986540161,5,0.9389802770176362,0.9376807671736347,0.9377741348775264,0.9378571968138585,0.9380730939706641,0.0005274678942996023
6.425252616405487,0.5152658004026751,0.30950266122817993,0.02123824149632326,gini,,7,"{'model__criterion': 'gini', 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 7}",0.9269689163774097,0.9303482663359424,0.9282296596965789,0.9284617068137431,0.9285021373059186,0.0012077704131376826,6,0.9389105942230767,0.9377954554364465,0.9377184144954298,0.9378836838273152,0.9380770369955671,0.00048479412415167644
6.105797290802002,0.3735945820221434,0.3102707266807556,0.0219218313494428,gini,1600,7,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 1600, 'model__min_samples_leaf': 7}",0.9270468633103202,0.9301568384087819,0.9282278773252621,0.9282687642675167,0.9284250858279703,0.0011137540048310394,7,0.9389045356860084,0.9377565937699696,0.9377249495831088,0.9378594340035312,0.9380613782606545,0.0004893295841638103
6.716728329658508,0.44131667245548933,0.2876526713371277,0.03034116263332252,gini,3200,7,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 3200, 'model__min_samples_leaf': 7}",0.9270468633103202,0.9301568384087819,0.9282278773252621,0.9282687642675167,0.9284250858279703,0.0011137540048310394,7,0.9389045356860084,0.9377565937699696,0.9377249495831088,0.9378594340035312,0.9380613782606545,0.0004893295841638103
3.768884837627411,0.3469366402307698,0.27773791551589966,0.08084406464862254,entropy,,7,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 7}",0.9256587797853979,0.9306173527916652,0.9285592990261563,0.9288506368932329,0.9284215171241131,0.0017788717990910253,9,0.9393127224973622,0.9385145466614302,0.9384920791566703,0.9382859939871375,0.9386513355756501,0.00039210360574356445
2.5051124691963196,0.17820332076910167,0.279010534286499,0.02621237343760054,gini,800,5,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 800, 'model__min_samples_leaf': 5}",0.9266605129405562,0.9296377953834107,0.9282627526336552,0.9290359359613636,0.9283992492297464,0.0011159303039466157,10,0.9402122992776526,0.9389958267274177,0.9393572080505639,0.9388204570701935,0.9393464477814569,0.0005360540897909906
4.054763913154602,0.15664327141148182,0.2861560583114624,0.01212244529266757,entropy,1600,7,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 1600, 'model__min_samples_leaf': 7}",0.9255271173020192,0.9302982471376199,0.9284351157818935,0.9291455626079401,0.9283515107073681,0.0017610003596206522,11,0.9392758763346433,0.9385388057892989,0.9385006698433298,0.9383011403002575,0.9386541230668823,0.0003701418396484838
4.198946237564087,0.20460856636399347,0.2870638966560364,0.06551372997774144,entropy,3200,7,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 3200, 'model__min_samples_leaf': 7}",0.9255271173020192,0.9302982471376199,0.9284351157818935,0.9291455626079401,0.9283515107073681,0.0017610003596206522,11,0.9392758763346433,0.9385388057892989,0.9385006698433298,0.9383011403002575,0.9386541230668823,0.0003701418396484838
2.96223384141922,0.8109325002284801,-0.172418475151062,0.7820252941117062,entropy,1600,3,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 1600, 'model__min_samples_leaf': 3}",0.9249728918093651,0.9286820310617857,0.9269920943000998,0.9285581903868816,0.927301301889533,0.0015002736897535732,13,0.9440293496631553,0.9428243278952226,0.9431770235129591,0.9425322068227582,0.9431407269735237,0.0005615542881014676
4.07118833065033,0.0543910928278097,0.3014103174209595,0.03754990346268882,entropy,3200,3,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 3200, 'model__min_samples_leaf': 3}",0.9244467727434166,0.9283134817288484,0.9267227822562085,0.9279347496934693,0.9268544466054858,0.0015091443917063145,14,0.9443710084464862,0.943420441909972,0.9437400540331764,0.9432293677628505,0.9436902180381214,0.00043333628455890415
2.9950385093688965,0.9583835353513807,0.2879462242126465,0.01801302549315081,entropy,,3,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 3}",0.9241706365909346,0.9284545786190243,0.9266836562279812,0.9280946375661914,0.9268508772510329,0.0016830367394872299,15,0.9443795668103994,0.9434347806219487,0.9437148255735228,0.9432360649286499,0.9436913094836301,0.00043223425825878814
5.178909957408905,0.17948023349643474,0.25220465660095215,0.030756123094798034,gini,1600,3,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 1600, 'model__min_samples_leaf': 3}",0.9246872809429563,0.9285123165971649,0.9263036048917435,0.9276141010627884,0.9267793258736633,0.0014407523129304131,16,0.9436411881639846,0.9427659680079561,0.942902478123427,0.9424898220703144,0.9429498640914205,0.00042591983810518494
4.830072045326233,0.41916740649566514,0.2792084217071533,0.026247010323121826,gini,3200,3,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 3200, 'model__min_samples_leaf': 3}",0.9246093716122654,0.9285034972830346,0.9260590913400442,0.9274160565344176,0.9266470041924405,0.0014607871297632568,17,0.9437311997159832,0.9428922468052903,0.9429867327938446,0.9425907864040924,0.9430502414298026,0.00041946357302641865
