mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
277.91331511735916,9.577616742442727,0.7740212082862854,0.12090442436494267,10.0,{'model__C': 10},0.6427165850438934,0.6504991748843085,0.6495905825197233,0.6356519576860724,0.6446145750334994,0.005985817438415228,1
471.3846729397774,36.7999258339867,0.49393755197525024,0.21004859886384977,inf,{'model__C': inf},0.6439251657011704,0.6456684204903629,0.6482761758996989,0.6387241412813219,0.6441484758431385,0.0034936160473633244,2
504.3349761366844,52.075637100458636,0.7843849658966064,0.14805271876287357,1000.0,{'model__C': 1000},0.644200871254417,0.6445757158698329,0.6499735976250917,0.6347975384799603,0.6433869308073256,0.005459797370276516,3
441.2169035077095,12.118031254970573,0.6716424822807312,0.08727178501499679,100.0,{'model__C': 100},0.6408731677820488,0.6492630799779496,0.6477923756040488,0.6330875585402632,0.6427540454760776,0.006417378187491129,4
481.84222000837326,43.538367549453454,0.745124101638794,0.05318926491856139,10000.0,{'model__C': 10000},0.6378292640826514,0.6456599821154098,0.6471385218414282,0.6342857493526782,0.6412283793480419,0.005346096314597378,5
142.49134629964828,4.6708784420456695,0.7141211628913879,0.04651868892126332,1.0,{'model__C': 1},0.6291650160122195,0.6373732673794877,0.6339362823497366,0.6231595473400755,0.6309085282703799,0.005339632172876389,6
63.55978113412857,2.6514407119709436,0.7388356924057007,0.052426526775941125,0.1,{'model__C': 0.1},0.5660930539966191,0.5465310363981436,0.5693151705310473,0.5467263779545836,0.5571664097200983,0.0105993254059338,7
35.88100343942642,1.1786987838169491,0.7719038128852844,0.06539026509354967,0.01,{'model__C': 0.01},0.3710011981553524,0.37444880986200796,0.37500674609655293,0.37736271475730543,0.37445486721780463,0.0022742039428274912,8
19.843895733356476,0.6402371838147897,0.7171671986579895,0.08556403324773053,0.001,{'model__C': 0.001},0.19975540645957107,0.19985412440724565,0.1960881814414077,0.19404489886882348,0.19743565279426198,0.002477052343015907,9
22.035097539424896,0.2768853678107058,0.7521982192993164,0.07563814240692902,0.0001,{'model__C': 0.0001},0.042057715817620384,0.04026919970814118,0.04030329316765271,0.04146780038187062,0.04102450226882123,0.0007672463718117916,10
40.069561541080475,1.2424757965608135,0.7033724188804626,0.04205765750971893,1e-05,{'model__C': 1e-05},0.015681786779056437,0.013321665003792274,0.013908770193445944,0.014456542727517063,0.01434219117595293,0.0008713380620260966,11
