mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
50.38263422250748,0.7151977878720451,1.4587541222572327,0.3514696277668437,entropy,0.4,1800,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.684460300171658,0.6925908317947708,0.6845467611400727,0.6821453502589554,0.6859358108413642,0.003961170474940139,1,0.7597168136616445,0.7628566494725937,0.7603665240564614,0.7548791409164373,0.7594547820267843,0.0028900314788901
51.288867712020874,0.94956264662023,1.1208270192146301,0.5765839693076541,entropy,0.4,2400,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6832810550856859,0.6935008891015618,0.6846922563060331,0.6817988479760513,0.6858182621173331,0.004552025813482847,2,0.7660211844496766,0.7725273626972209,0.7684167737628025,0.7637240193345582,0.7676723350610646,0.0032573370161126584
31.21231245994568,0.882824401687832,0.8746744990348816,0.33249319522275156,entropy,0.4,2400,3,30,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 3, 'model__n_estimators': 30}",0.6822565612175359,0.6933914730779134,0.6852775727305491,0.6817841063911697,0.685677428354292,0.004650985336295369,3,0.7621008263739558,0.768489001631873,0.765329382545503,0.7601382177139554,0.7640143570663217,0.003179535814726033
40.838485062122345,0.1046863821136631,0.8731300234794617,0.13473220298859562,entropy,0.4,2400,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6837937183163385,0.691577041358505,0.6856510865358456,0.6809634715493607,0.6854963294400125,0.0038873092393617837,4,0.7647210021137776,0.770617799760292,0.7672832045479739,0.7628185145269517,0.7663601302372489,0.002924448614489104
51.85203403234482,0.8562872141316263,1.4928883910179138,0.4594801951801658,entropy,0.4,1200,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6855919011232708,0.6897763289412726,0.6845938856616117,0.6816508013104915,0.6854032292591616,0.002910985678032502,5,0.744945770584978,0.7440733817264624,0.74457550816433,0.7371146585518552,0.7426773297569065,0.003226498763911067
30.56376153230667,0.7767550968185573,1.1502249836921692,0.37245148068794504,entropy,0.4,1800,3,30,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 30}",0.6836809374323765,0.6916751937513618,0.683847909364632,0.6816418421988301,0.6852114706868001,0.003831572618380186,6,0.7559016711552051,0.760461155137642,0.7567122157485231,0.7526717143310215,0.7564366890930978,0.0027718910979003717
40.4909753203392,0.5158190556260144,1.2388296723365784,0.2630596979344093,entropy,0.4,1800,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6841781029555918,0.6914926793985808,0.68419254805345,0.6807080495335988,0.6851428449853053,0.003931335626001825,7,0.7576278659425469,0.7618335645183604,0.7587291387715469,0.7543718382481036,0.7581406018701395,0.0026669657935422626
31.910389244556427,1.0015965144434085,0.8679419159889221,0.1990482717637314,entropy,0.4,1200,3,30,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 30}",0.6841218993688466,0.6913108017867322,0.6839356356294045,0.6807556006916564,0.68503098436916,0.0038646227754913585,8,0.7420939807208777,0.7421304005694603,0.7421413227038058,0.7354619124469801,0.7404569041102811,0.0028839130509823886
41.15360885858536,0.6760676931936415,1.2368128299713135,0.4572118519318909,entropy,0.4,1200,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6839939004661084,0.6902391561482902,0.6847707912037548,0.6808976837922536,0.6849753829026017,0.003366753048299732,9,0.7432263436192204,0.7423671327899969,0.7436653058867491,0.7370540705666005,0.7415782132156418,0.0026534199841272885
38.59651070833206,1.6236579317071442,1.9779692888259888,0.667494568309585,gini,0.4,1200,3,50,"{'model__criterion': 'gini', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6785448471045123,0.6923335271487923,0.6879126748558475,0.6797904382912169,0.6846453718500922,0.005713356781719336,10,0.7414601064643574,0.7464302711121328,0.7458634879608588,0.7408295876153583,0.7436458632881768,0.002518914829702321
32.26716011762619,2.0140146706888724,1.7018232345581055,0.6389666205079851,gini,0.4,1200,3,40,"{'model__criterion': 'gini', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6789024302111629,0.6901239930534304,0.6861049139568905,0.6789092330904791,0.6835101425779908,0.004818589990545048,11,0.7400336061524236,0.744872060069673,0.7429077357085901,0.7391776900969548,0.7417477730069104,0.0022721343099001037
81.00754445791245,1.6619135104036622,1.624485969543457,0.478124148202107,entropy,0.6,2400,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6805084860905561,0.689272931216277,0.6830001526143805,0.6780757094113437,0.6827143198331393,0.004167717984669931,12,0.7663507159977494,0.7716340995042802,0.768748082950614,0.7619345437901931,0.7671668605607092,0.0035531577068843466
64.51299172639847,1.4121029200100619,1.3048977255821228,0.2790537809789845,entropy,0.6,1800,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6805990521680936,0.6873355141359864,0.682430304649585,0.6800052148794402,0.6825925214582762,0.002880554155784241,13,0.7564636894342879,0.7604712381223334,0.7591292277283002,0.7537708224851937,0.7574587444425288,0.0025717958420004954
58.41411179304123,0.7763405374261831,1.095487356185913,0.24971813382723154,entropy,0.6,1200,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6820706307657051,0.6857484043604534,0.6825340423112882,0.6785887768171054,0.682235463563638,0.002537488738353787,14,0.7410955064815955,0.7414532704569798,0.7428963550363129,0.7363912274171746,0.7404590898480157,0.002443419098776937
39.959227442741394,2.243688853869243,1.6360300779342651,0.2639806220447785,gini,0.4,1800,3,50,"{'model__criterion': 'gini', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6770653681888739,0.6885888635622449,0.6839002639035241,0.6788228698006795,0.6820943413638307,0.00451201928708228,15,0.7581204682497212,0.7599990560423717,0.7602718288535665,0.7574708896815048,0.7589655607067911,0.001196105327173754
80.83053058385849,0.9237632396077256,2.0179871916770935,0.6051222050931574,entropy,0.6,1800,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6797179488401046,0.6881254922692621,0.6819440460722337,0.6785663850531867,0.6820884680586967,0.00369089924993029,16,0.7582389331745525,0.7622927468156436,0.7602758736296169,0.7543251416662602,0.7587831738215184,0.002945993206769004
26.578115820884705,0.8899653274573989,1.3349677920341492,0.2834084361218875,gini,0.4,1200,3,30,"{'model__criterion': 'gini', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 30}",0.674574018945938,0.688559581443067,0.6844440421909553,0.6806680602129113,0.6820614256982179,0.00514552273062487,17,0.7369588161005896,0.7445851421040901,0.7424764997303764,0.7373732585308761,0.740348429116483,0.003271831974905278
73.39370566606522,0.8817698988053616,1.292245626449585,0.263879464012112,entropy,0.6,1200,3,50,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 50}",0.6819621031342012,0.6850314338435269,0.6824055128786944,0.6778853716228949,0.6818211053698294,0.0025572261115204623,18,0.7431431538715446,0.743332502997812,0.7437522252382316,0.7359231716621474,0.7415377634424338,0.0032490710366898483
63.824003756046295,0.5716642064354848,1.2756884098052979,0.25424757161923744,entropy,0.6,2400,3,40,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 3, 'model__n_estimators': 40}",0.6799060464890838,0.6872199182412826,0.681758006049328,0.6781711720743956,0.6817637857135225,0.003395860838986878,19,0.7640339387858871,0.7696400784232542,0.7680917728555179,0.7604212149805777,0.7655467512613092,0.003598339405913272
50.02127778530121,0.5099620087171204,1.440466046333313,0.5196028768994315,entropy,0.4,1800,5,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.6817485154393838,0.6865881042281599,0.681769278720792,0.6762803212415209,0.6815965549074641,0.003647973085522892,20,0.7483406734022344,0.7504326823060007,0.7503406332742534,0.7418724449682019,0.7477466084876727,0.0034929452947010386
49.01603853702545,0.6815743746151511,1.0105239748954773,0.1968232726586092,entropy,0.4,2400,5,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.6817485154393838,0.6864768707957426,0.681769278720792,0.6762803212415209,0.6815687465493598,0.0036100434851993506,21,0.7483406734022344,0.7505622970302032,0.7503406332742534,0.7418724449682019,0.7477790121687233,0.003518223157502386
50.46414369344711,1.6595777764349011,1.3453505635261536,0.2901511347356078,entropy,0.4,1200,5,50,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.6804179065662689,0.6867160569206826,0.6830014202018115,0.6761381365951156,0.6815683800709696,0.003852379604145609,22,0.7398681408204771,0.7396456204674781,0.7409592530945479,0.732604084781042,0.7382692747908863,0.003308362930660052
41.647377610206604,0.6693918559443593,1.532873272895813,0.4046289494375675,entropy,0.4,1200,5,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 5, 'model__n_estimators': 40}",0.681532169061147,0.6831676345432949,0.683553235660673,0.6755164656313813,0.6809423762241241,0.0032232252068191344,23,0.737918414501394,0.7364931530246867,0.7407157177133993,0.7303987101303686,0.7363814988424622,0.0037733867544229873
44.83824551105499,0.5034441779305752,0.8862549066543579,0.17763315587366313,entropy,0.6,1200,3,30,"{'model__criterion': 'entropy', 'model__max_features': 0.6, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 30}",0.679881287377801,0.6845037246190879,0.6829299467435467,0.6763280117886608,0.680910742632274,0.0031244161417181677,24,0.7397465293329643,0.7396348491286695,0.7407908805409233,0.7340110256730167,0.7385458211688934,0.002656705843982533
41.433698892593384,2.874461174054395,0.7892143130302429,0.03188279271809698,entropy,0.4,2400,5,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 2400, 'model__min_samples_leaf': 5, 'model__n_estimators': 40}",0.680676469201244,0.6839139146261806,0.6827625766748372,0.6755824516175476,0.6807338530299524,0.00319252019565434,25,0.7464295164558455,0.7473373758924114,0.749806690594517,0.7400049118512265,0.7458946236985001,0.0036180318267575603
40.88719826936722,0.656443239423014,0.9746690392494202,0.22112811202913,entropy,0.4,1800,5,40,"{'model__criterion': 'entropy', 'model__max_features': 0.4, 'model__max_leaf_nodes': 1800, 'model__min_samples_leaf': 5, 'model__n_estimators': 40}",0.680676469201244,0.6838355768046208,0.6827625766748372,0.6755824516175476,0.6807142685745624,0.003173133514903276,26,0.7464295164558455,0.7474017933132229,0.749806690594517,0.7400049118512265,0.745910728053703,0.003624555357254327
