mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
82.29782301187515,7.028119131422254,0.2017419934272766,0.018513573198220553,inf,{'model__C': inf},0.9048913198742483,0.9067301853471759,0.9084186266635197,0.9082767125444304,0.9070792111073436,0.0014262477653854025,1
86.83490270376205,0.29570165272738475,0.22852373123168945,0.005377315928871378,10000.0,{'model__C': 10000},0.9048909437571775,0.9067299497889036,0.9084180399223727,0.9082766364865774,0.9070788924887578,0.0014262527119234209,2
88.67722499370575,0.43461283299605036,0.21803075075149536,0.008405672302803834,1000.0,{'model__C': 1000},0.90488795477599,0.9067386561819815,0.9084079845379699,0.908272242015316,0.9070767093778144,0.001423597424625258,3
91.66727870702744,2.741462999766115,0.22155392169952393,0.001536783545146434,100.0,{'model__C': 100},0.9048231545145093,0.9067446118555608,0.9083488052554616,0.908231324613506,0.9070369740597595,0.0014259950007474791,4
28.526321828365326,1.8536387127535865,0.2322295904159546,0.009302542044072477,10.0,{'model__C': 10},0.9046358011960213,0.9064209606600734,0.9080656242431351,0.9080109458972786,0.9067833329991271,0.0014048586067314473,5
1.919086217880249,0.08268482664857184,0.22963643074035645,0.01214502041811536,0.1,{'model__C': 0.1},0.9047411272673467,0.9050879355391834,0.9067943049841688,0.9079874193867686,0.9061526967943669,0.0013137839548839623,6
6.390948593616486,0.5973811138789863,0.22666054964065552,0.005026280040970022,1.0,{'model__C': 1},0.9042590227757851,0.9053915204047341,0.9070218346397628,0.9073606660119953,0.9060082609580693,0.0012546447870408863,7
2.0025118589401245,0.068283775021651,0.23845475912094116,0.012181332997989573,0.01,{'model__C': 0.01},0.9033435659300513,0.9027262664179786,0.903237818379359,0.9058182743492232,0.9037814812691531,0.0011988894460208544,8
2.2999367117881775,0.19711781747412122,0.2629045248031616,0.02852747864742777,0.001,{'model__C': 0.001},0.8921472600022291,0.8950971103812223,0.8925209920998498,0.8950816245053155,0.893711746747154,0.001383953835576415,9
2.013649106025696,0.2154312442009417,0.23189449310302734,0.01986920808948318,0.0001,{'model__C': 0.0001},0.8756449768425965,0.8792913521895478,0.875533718464463,0.8781105638940991,0.8771451528476766,0.0016113223545603846,10
3.3866395354270935,0.3945730126893574,0.23925411701202393,0.017524109601435627,1e-05,{'model__C': 1e-05},0.8699066227187937,0.8738274616068812,0.8697270802701826,0.8718207940532947,0.871320489662288,0.0016638198549868153,11
