mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
7.242832839488983,0.2085689697920428,0.6855605244636536,0.07990861010488196,gini,0.5,600,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.5, 'model__max_leaf_nodes': 600, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.76603154155821,0.7986582695877733,0.7646820181727163,0.8021800054393129,0.7828879586895031,0.017581814768603085,1,0.7728103400284078,0.8054425191916472,0.7728302016604887,0.804678390443121,0.7889403628309162,0.016122357196011444
7.3503031730651855,0.4424686307451804,0.7129807472229004,0.11049466637563334,gini,0.5,900,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.5, 'model__max_leaf_nodes': 900, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.76603154155821,0.7986582695877733,0.7646820181727163,0.8021800054393129,0.7828879586895031,0.017581814768603085,1,0.7728103400284078,0.8054425191916472,0.7728302016604887,0.804678390443121,0.7889403628309162,0.016122357196011444
7.504510939121246,0.18622298884268979,0.5646302700042725,0.11756458124676408,gini,0.5,1200,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.5, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.76603154155821,0.7986582695877733,0.7646820181727163,0.8021800054393129,0.7828879586895031,0.017581814768603085,1,0.7728103400284078,0.8054425191916472,0.7728302016604887,0.804678390443121,0.7889403628309162,0.016122357196011444
8.724651098251343,0.20151794198259673,0.5612661838531494,0.07353618090642909,entropy,0.5,900,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.5, 'model__max_leaf_nodes': 900, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7650218884554225,0.797206281581126,0.7632480553962742,0.8016920878354801,0.7817920783170758,0.017739279122762807,4,0.7722898301673162,0.805222414063229,0.7724573888770478,0.805227262776187,0.7887992239709449,0.01642572136766949
8.02962976694107,0.0572699658225096,0.6967888474464417,0.12942510790751485,entropy,0.5,600,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.5, 'model__max_leaf_nodes': 600, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7650218884554225,0.797206281581126,0.7632480553962742,0.8016920878354801,0.7817920783170758,0.017739279122762807,4,0.7722898301673162,0.805222414063229,0.7724573888770478,0.805227262776187,0.7887992239709449,0.01642572136766949
8.491635203361511,0.1752492336313772,0.524696946144104,0.08295109418575715,entropy,0.5,1200,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.5, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7650218884554225,0.797206281581126,0.7632480553962742,0.8016920878354801,0.7817920783170758,0.017739279122762807,4,0.7722898301673162,0.805222414063229,0.7724573888770478,0.805227262776187,0.7887992239709449,0.01642572136766949
5.559392988681793,0.36919746078726906,0.599981963634491,0.13155036851501956,entropy,0.25,600,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.25, 'model__max_leaf_nodes': 600, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7649204942594555,0.7948079246513664,0.7647897722874911,0.799262879119663,0.780945267579494,0.016167108134399068,7,0.7712338523426776,0.8017924854243493,0.7722415292215961,0.8021277344246254,0.7868489003533121,0.015115873453990028
5.6149502992630005,0.21764062243926655,0.588603675365448,0.050008215007434915,entropy,0.25,900,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.25, 'model__max_leaf_nodes': 900, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7649204942594555,0.7948079246513664,0.7647897722874911,0.799262879119663,0.780945267579494,0.016167108134399068,7,0.7712338523426776,0.8017924854243493,0.7722415292215961,0.8021277344246254,0.7868489003533121,0.015115873453990028
6.405000925064087,0.4287466184734671,0.4356333613395691,0.359332440758499,entropy,0.25,1200,3,75,"{'model__criterion': 'entropy', 'model__max_features': 0.25, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7649204942594555,0.7948079246513664,0.7647897722874911,0.799262879119663,0.780945267579494,0.016167108134399068,7,0.7712338523426776,0.8017924854243493,0.7722415292215961,0.8021277344246254,0.7868489003533121,0.015115873453990028
5.457775831222534,0.17194092442420728,1.0533258318901062,0.08902614878143547,gini,0.25,600,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.25, 'model__max_leaf_nodes': 600, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7622719142021279,0.7967963209995189,0.7643947998549798,0.7994098881171996,0.7807182307934566,0.017425584865172105,10,0.7694489639157167,0.8033840609397689,0.7722533024596748,0.8028383260964793,0.78698116335291,0.01616162556116363
4.807326436042786,0.2522497537703502,0.6124358773231506,0.3211944052676686,gini,0.25,1200,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.25, 'model__max_leaf_nodes': 1200, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7622719142021279,0.7967963209995189,0.7643947998549798,0.7994098881171996,0.7807182307934566,0.017425584865172105,10,0.7694489639157167,0.8033840609397689,0.7722533024596748,0.8028383260964793,0.78698116335291,0.01616162556116363
4.792709648609161,0.09158750999817732,0.7994662523269653,0.13599484449650298,gini,0.25,900,3,75,"{'model__criterion': 'gini', 'model__max_features': 0.25, 'model__max_leaf_nodes': 900, 'model__min_samples_leaf': 3, 'model__n_estimators': 75}",0.7622719142021279,0.7967963209995189,0.7643947998549798,0.7994098881171996,0.7807182307934566,0.017425584865172105,10,0.7694489639157167,0.8033840609397689,0.7722533024596748,0.8028383260964793,0.78698116335291,0.01616162556116363
