mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
14.984847128391266,0.6767941360914721,0.6129757761955261,0.0878392275684683,0.1,{'model__C': 0.1},0.4572011762012954,0.4526648594399948,0.4498523817233477,0.4603711930363556,0.4550224026002484,0.004051041198076705,1
27.00479632616043,1.9225808032519025,0.6057341694831848,0.07897644522386185,1.0,{'model__C': 1},0.4532630510848563,0.45021020294711445,0.44897760594242875,0.4575567268940655,0.4525018967171162,0.0033091974060691517,2
33.680378556251526,4.113716260305333,0.4080418348312378,0.12887837322001983,inf,{'model__C': inf},0.44983560371486825,0.4500132431383272,0.4476311165233456,0.45683653137040925,0.4510791236867376,0.003453944842449052,3
43.835598051548004,6.431304197024074,0.6103194355964661,0.06794145025163403,1000.0,{'model__C': 1000},0.45048164458144613,0.44996256852872735,0.4467960351329166,0.4565842091393979,0.450956114345622,0.003542384963237936,4
35.99048465490341,2.5730183532523987,0.6034131050109863,0.13951896379600526,10.0,{'model__C': 10},0.4504667649998847,0.45057438394092963,0.4465148041448781,0.45603659872691327,0.4508981379531514,0.00338778296543185,5
35.011841893196106,3.871580195853597,0.5982722640037537,0.023728312850320316,10000.0,{'model__C': 10000},0.449410387649808,0.450518051897403,0.44736337129055526,0.45587699173421314,0.45079220064299486,0.003146288919200437,6
39.11022001504898,4.736395204789918,0.5945256948471069,0.11542646202499533,100.0,{'model__C': 100},0.4485793832016161,0.4508961099281287,0.4470667464775279,0.4565065057731455,0.45076218634510457,0.0035859464090932987,7
5.819196581840515,0.8187450027208889,0.6006114482879639,0.07345412560927655,0.01,{'model__C': 0.01},0.406256347586481,0.39855458441241076,0.3902491416249432,0.399036895457816,0.3985242422704127,0.005668475924963374,8
4.755973756313324,0.5464827861836287,0.5157812833786011,0.05721901192685584,0.001,{'model__C': 0.001},0.19530845267762353,0.19325299051514738,0.19215021356539172,0.19394230313421082,0.19366348997309335,0.0011447875751845686,9
5.020085990428925,0.5029043785094971,0.505832850933075,0.06627366618254858,0.0001,{'model__C': 0.0001},0.12681068176961197,0.13191340226467166,0.12806612240339105,0.1305504010082815,0.12933515186148903,0.0020067131484465747,10
7.95116263628006,0.22579617029921026,0.44778603315353394,0.0792404332599663,1e-05,{'model__C': 1e-05},0.10469833714870161,0.10670280209282569,0.105955274711764,0.10464375381567231,0.1055000419422409,0.0008703201689563209,11
