mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
45.554908752441406,0.8318448101470793,0.7795302867889404,0.06843507257004376,10.0,{'model__C': 10},0.5857147973031409,0.5812794796011027,0.5802960934232176,0.5911755606420586,0.5846164827423799,0.00430200975133884,1
31.82727950811386,1.2414475093069441,0.57453852891922,0.33922592504780585,1.0,{'model__C': 1},0.5855682797709562,0.5822621847864613,0.5808668666757547,0.5872110006115042,0.583977082961169,0.0025300420820758367,2
51.96985203027725,3.8365420363800973,0.7504108548164368,0.07359757292538052,100.0,{'model__C': 100},0.5844784008710066,0.5792167496556673,0.5792841648105062,0.5894521151681182,0.5831078576263246,0.004239379097556723,3
17.343597412109375,0.6708051747903098,0.6106787919998169,0.027157389798370034,0.1,{'model__C': 0.1},0.5855232162267547,0.5813017323366918,0.5791234262588536,0.5860127847686727,0.5829902898977433,0.002887691641767923,4
50.527152597904205,1.1930253570117324,0.48031771183013916,0.28524719346614774,1000.0,{'model__C': 1000},0.5841952404982257,0.5791747156983806,0.5796865748756495,0.5885702659326801,0.582906699251234,0.0038089771702317764,5
42.83621031045914,2.0536679547517585,0.493091881275177,0.17843347192835396,inf,{'model__C': inf},0.5846714622432261,0.5771445570626033,0.579399803436071,0.5899575926668896,0.5827933538521974,0.004956780671951195,6
46.82557636499405,3.4135334675898,0.6807940006256104,0.04423657240136882,10000.0,{'model__C': 10000},0.5843216030559488,0.5777443772773178,0.5789946621958754,0.5898648934078976,0.5827313839842598,0.004802319205653785,7
8.324431121349335,0.5213019793986424,0.6026700735092163,0.06903904970340492,0.01,{'model__C': 0.01},0.5728260913407002,0.5718167072290058,0.5696142536161739,0.6056910012428919,0.5799870133571929,0.014885578962771708,8
4.5903239250183105,0.3836866024301503,0.5929587483406067,0.08477337878674493,0.001,{'model__C': 0.001},0.5859740768427049,0.5746068829001562,0.5828815793184463,0.5727254503005961,0.5790469973404759,0.00553093623621999,9
2.4885730147361755,0.36497493752488075,0.5191570520401001,0.1039013940402652,0.0001,{'model__C': 0.0001},0.528284036056825,0.521801920854804,0.5299669653039653,0.5221300444008894,0.5255457416541209,0.0036307250206038108,10
4.63971608877182,0.21157582880592474,0.5970368981361389,0.0909279990083322,1e-05,{'model__C': 1e-05},0.47406934984805565,0.4728024169170003,0.47234200583323566,0.46832158493960807,0.4718838393844749,0.0021517326677833936,11
